index,raw,filtered
0,122.0,0.0000
1,126.0,121.8781
2,126.0,124.0363
3,128.0,124.7905
4,128.0,125.8374
5,128.0,126.4836
6,126.0,126.9160
7,123.0,126.6613
8,117.0,125.6569
9,117.0,123.2990
10,125.0,121.5898
11,123.0,122.5133
12,123.0,122.6449
13,123.0,122.7409
14,123.0,122.8109
15,123.0,122.8620
16,122.0,122.8993
17,122.0,122.6563
18,123.0,122.4790
19,122.0,122.6198
20,123.0,122.4523
21,120.0,122.6003
22,122.0,121.8978
23,124.0,121.9254
24,125.0,122.4859
25,125.0,123.1651
26,124.0,123.6608
27,122.0,123.7524
28,119.0,123.2790
29,121.0,122.1230
30,126.0,121.8196
31,124.0,122.9490
32,124.0,123.2329
33,122.0,123.4401
34,125.0,123.0511
35,127.0,123.5776
36,123.0,124.5022
37,124.0,124.0964
38,128.0,124.0703
39,128.0,125.1320
40,121.0,125.9068
41,125.0,124.5812
42,122.0,124.6943
43,121.0,123.9664
44,121.0,123.1650
45,122.0,122.5801
46,120.0,122.4234
47,120.0,121.7687
48,120.0,121.2909
49,116.0,120.9421
50,117.0,119.6070
51,123.0,118.9027
52,121.0,120.0096
53,121.0,120.2772
54,117.0,120.4724
55,121.0,119.5343
56,120.0,119.9303
57,120.0,119.9491
58,124.0,119.9629
59,122.0,121.0535
60,119.0,121.3092
61,120.0,120.6854
62,124.0,120.5002
63,125.0,121.4457
64,125.0,122.4059
65,125.0,123.1067
66,118.0,123.6182
67,124.0,122.1004
68,124.0,122.6136
69,126.0,122.9881
70,120.0,123.8018
71,117.0,122.7747
72,121.0,121.2147
73,125.0,121.1567
74,120.0,122.1950
75,120.0,121.6020
76,123.0,121.1692
77,119.0,121.6638
78,120.0,120.9442
79,124.0,120.6891
80,126.0,121.5836
81,124.0,122.7767
82,123.0,123.1072
83,124.0,123.0782
84,123.0,123.3272
85,120.0,123.2388
86,119.0,122.3638
87,119.0,121.4551
88,119.0,120.7918
89,118.0,120.3078
90,120.0,119.6843
91,120.0,119.7696
92,116.0,119.8318
93,116.0,118.7966
94,122.0,118.0411
95,122.0,119.1106
96,118.0,119.8912
97,121.0,119.3803
98,121.0,119.8179
99,122.0,120.1372
100,122.0,120.6405
101,125.0,121.0078
102,124.0,122.0863
103,124.0,122.6033
104,125.0,122.9806
105,123.0,123.5262
106,122.0,123.3840
107,124.0,123.0101
108,122.0,123.2775
109,126.0,122.9324
110,122.0,123.7611
111,126.0,123.2854
112,125.0,124.0187
113,124.0,124.2838
114,124.0,124.2071
115,122.0,124.1512
116,121.0,123.5700
117,120.0,122.8757
118,120.0,122.0988
119,120.0,121.5318
120,123.0,121.1180
121,119.0,121.6264
122,119.0,120.9169
123,119.0,120.3990
124,116.0,120.0211
125,116.0,118.9348
126,118.0,118.1419
127,118.0,118.1036
128,120.0,118.0756
129,121.0,118.5955
130,125.0,119.2451
131,124.0,120.7998
132,129.0,121.6644
133,129.0,123.6461
134,127.0,125.0925
135,127.0,125.6078
136,132.0,125.9839
137,127.0,127.6092
138,124.0,127.4446
139,127.0,126.5140
140,122.0,126.6453
141,119.0,125.3904
142,121.0,123.6640
143,118.0,122.9443
144,122.0,121.6086
145,122.0,121.7143
146,122.0,121.7915
147,125.0,121.8478
148,122.0,122.6994
149,124.0,122.5105
150,122.0,122.9129
151,122.0,122.6662
152,125.0,122.4863
153,125.0,123.1654
154,129.0,123.6610
155,126.0,125.1034
156,123.0,125.3456
157,125.0,124.7119
158,125.0,124.7897
159,128.0,124.8465
160,124.0,125.6985
161,120.0,125.2396
162,125.0,123.8241
163,126.0,124.1418
164,121.0,124.6438
165,125.0,123.6594
166,123.0,124.0216
167,123.0,123.7456
168,123.0,123.5442
169,120.0,123.3972
170,126.0,122.4794
171,126.0,123.4305
172,126.0,124.1247
173,126.0,124.6313
174,128.0,125.0011
175,128.0,125.8112
176,125.0,126.4026
177,125.0,126.0236
178,125.0,125.7471
179,125.0,125.5453
180,125.0,125.3980
181,124.0,125.2904
182,125.0,124.9418
183,122.0,124.9575
184,122.0,124.1585
185,122.0,123.5754
186,124.0,123.1498
187,123.0,123.3795
188,124.0,123.2770
189,123.0,123.4723
190,121.0,123.3447
191,122.0,122.7113
192,121.0,122.5191
193,120.0,122.1087
194,121.0,121.5390
195,122.0,121.3934
196,130.0,121.5573
197,124.0,123.8381
198,122.0,123.8819
199,123.0,123.3735
200,124.0,123.2726
201,124.0,123.4691
202,125.0,123.6125
203,125.0,123.9874
204,124.0,124.2609
205,129.0,124.1904
206,129.0,125.4898
207,127.0,126.4381
208,127.0,126.5899
209,132.0,126.7007
210,132.0,128.1323
211,131.0,129.1772
212,134.0,129.6696
213,130.0,130.8395
214,130.0,130.6127
215,130.0,130.4472
216,129.0,130.3264
217,132.0,129.9680
218,128.0,130.5170
219,125.0,129.8370
220,128.0,128.5303
221,129.0,128.3870
222,121.0,128.5526
223,125.0,126.5122
224,123.0,126.1037
225,123.0,125.2652
226,120.0,124.6532
227,121.0,123.3961
228,121.0,122.7488
229,118.0,122.2764
230,118.0,121.1211
231,117.0,120.2779
232,118.0,119.3924
233,119.0,119.0162
234,119.0,119.0118
235,125.0,119.0086
236,125.0,120.6272
237,120.0,121.8086
238,120.0,121.3200
239,124.0,120.9634
240,124.0,121.7837
241,122.0,122.3825
242,121.0,122.2791
243,121.0,121.9336
244,125.0,121.6814
245,121.0,122.5779
246,121.0,122.1516
247,126.0,121.8405
248,125.0,122.9642
249,126.0,123.5142
250,126.0,124.1858
251,125.0,124.6759
252,123.0,124.7634
253,120.0,124.2870
254,128.0,123.1289
255,127.0,124.4448
256,130.0,125.1351
257,126.0,126.4494
258,128.0,126.3280
259,122.0,126.7797
260,122.0,125.4884
261,126.0,124.5460
262,124.0,124.9388
263,132.0,124.6852
264,125.0,126.6613
265,125.0,126.2125
266,129.0,125.8849
267,129.0,126.7265
268,128.0,127.3407
269,128.0,127.5188
270,124.0,127.6488
271,123.0,126.6631
272,122.0,125.6735
273,123.0,124.6811
274,123.0,124.2269
275,113.0,123.8954
276,115.0,120.9520
277,114.0,119.3440
