index,raw,filtered
0,126.0,0.0000
1,126.0,125.8741
2,127.0,125.9400
3,122.0,126.3471
4,127.0,124.9292
5,127.0,125.5480
6,124.0,125.9620
7,126.0,125.4165
8,124.0,125.5766
9,120.0,125.1471
10,124.0,123.7505
11,124.0,123.8181
12,123.0,123.8673
13,122.0,123.6328
14,124.0,123.1916
15,123.0,123.4100
16,122.0,123.2992
17,122.0,122.9482
18,120.0,122.6920
19,121.0,121.9648
20,122.0,121.7041
21,127.0,121.7841
22,124.0,123.1932
23,124.0,123.4111
24,128.0,123.5702
25,123.0,124.7670
26,123.0,124.2896
27,123.0,123.9412
28,123.0,123.6869
29,125.0,123.5014
30,125.0,123.9062
31,122.0,124.2017
32,123.0,123.6069
33,125.0,123.4429
34,123.0,123.8636
35,123.0,123.6303
36,124.0,123.4600
37,124.0,123.6059
38,122.0,123.7124
39,121.0,123.2498
40,120.0,122.6420
41,124.0,121.9282
42,123.0,122.4879
43,121.0,122.6263
44,121.0,122.1869
45,124.0,121.8663
46,122.0,122.4427
47,122.0,122.3231
48,125.0,122.2358
49,120.0,122.9826
50,124.0,122.1768
51,128.0,122.6694
52,131.0,124.1095
53,130.0,125.9710
54,128.0,127.0594
55,128.0,127.3135
56,134.0,127.4990
57,125.0,129.2553
58,128.0,128.1057
59,131.0,128.0771
60,131.0,128.8668
61,134.0,129.4431
62,131.0,130.6742
63,125.0,130.7622
64,133.0,129.2055
65,131.0,130.2306
66,130.0,130.4385
67,130.0,130.3200
68,127.0,130.2336
69,124.0,129.3600
70,122.0,127.9120
71,121.0,126.3148
72,124.0,124.8790
73,125.0,124.6415
74,121.0,124.7384
75,120.0,123.7284
76,121.0,122.7212
77,121.0,122.2562
78,121.0,121.9168
79,117.0,121.6691
80,117.0,120.4077
81,117.0,119.4871
82,119.0,118.8152
83,121.0,118.8651
84,121.0,119.4419
85,122.0,119.8628
86,122.0,120.4402
87,124.0,120.8616
88,124.0,121.7094
89,124.0,122.3283
90,126.0,122.7799
91,123.0,123.6498
92,122.0,123.4743
93,122.0,123.0760
94,122.0,122.7853
95,125.0,122.5731
96,125.0,123.2288
97,126.0,123.7073
98,125.0,124.3267
99,122.0,124.5086
100,124.0,123.8309
101,128.0,123.8766
102,130.0,124.9905
103,128.0,126.3439
104,123.0,126.7913
105,121.0,125.7670
106,126.0,124.4792
107,125.0,124.8901
108,127.0,124.9198
109,127.0,125.4817
110,130.0,125.8919
111,128.0,127.0017
112,128.0,127.2714
113,131.0,127.4683
114,129.0,128.4224
115,124.0,128.5784
116,127.0,127.3415
117,127.0,127.2493
118,114.0,127.1819
119,114.0,123.6207
120,116.0,121.0216
121,119.0,119.6650
122,117.0,119.4854
123,119.0,118.8139
124,119.0,118.8642
125,116.0,118.9009
126,114.0,118.1172
127,109.0,117.0049
128,114.0,114.8423
129,116.0,114.6148
130,115.0,114.9890
131,114.0,114.9920
132,116.0,114.7240
133,113.0,115.0687
134,117.0,114.5098
135,119.0,115.1826
136,122.0,116.2139
137,119.0,117.7770
138,117.0,118.1074
139,117.0,117.8082
140,123.0,117.5899
141,123.0,119.0515
142,119.0,120.1182
143,125.0,119.8161
144,127.0,121.2166
145,127.0,122.7790
146,120.0,123.9193
147,130.0,122.8605
148,124.0,124.7893
149,127.0,124.5760
150,127.0,125.2309
151,126.0,125.7088
152,123.0,125.7875
153,131.0,125.0344
154,124.0,126.6461
155,124.0,125.9312
156,120.0,125.4095
157,123.0,123.9481
158,120.0,123.6920
159,121.0,122.6945
160,120.0,122.2368
161,122.0,121.6325
162,125.0,121.7318
163,123.0,122.6147
164,122.0,122.7188
165,127.0,122.5246
166,125.0,123.7337
167,123.0,124.0758
168,123.0,123.7851
169,126.0,123.5730
170,128.0,124.2287
171,129.0,125.2475
172,129.0,126.2613
173,129.0,127.0012
174,125.0,127.5412
175,125.0,126.8547
176,128.0,126.3536
177,123.0,126.7984
178,123.0,125.7722
179,127.0,125.0233
180,127.0,125.5573
181,124.0,125.9471
182,122.0,125.4211
183,121.0,124.4968
184,123.0,123.5521
185,122.0,123.4030
186,123.0,123.0240
187,124.0,123.0175
188,126.0,123.2829
189,123.0,124.0170
190,124.0,123.7422
191,119.0,123.8119
192,123.0,122.5119
193,120.0,122.6438
194,120.0,121.9295
195,124.0,121.4083
196,122.0,122.1084
197,120.0,122.0791
198,125.0,121.5174
199,125.0,122.4583
200,124.0,123.1449
201,124.0,123.3759
202,126.0,123.5445
203,121.0,124.2079
204,120.0,123.3413
205,120.0,122.4386
206,114.0,121.7798
207,100.0,119.6780
208,97.0,114.3619
209,99.0,109.6715
210,101.0,106.7885
211,98.0,105.2247
212,99.0,103.2729
213,99.0,102.1186
214,99.0,101.2761
215,102.0,100.6612
216,100.0,101.0229
217,105.0,100.7465
218,100.0,101.8956
219,102.0,101.3835
220,106.0,101.5501
221,111.0,102.7522
222,115.0,104.9804
223,115.0,107.6873
224,118.0,109.6629
225,116.0,111.9152
226,116.0,113.0187
227,121.0,113.8241
228,120.0,115.7627
229,123.0,116.9075
230,123.0,118.5534
231,123.0,119.7547
232,121.0,120.6314
233,119.0,120.7310
234,120.0,120.2634
235,119.0,120.1922
236,119.0,119.8701
237,118.0,119.6351
238,118.0,119.1933
239,122.0,118.8709
240,120.0,119.7163
241,115.0,119.7929
242,114.0,118.4981
243,117.0,117.2829
244,115.0,117.2065
245,113.0,116.6104
246,119.0,115.6350
247,107.0,116.5441
248,114.0,113.9657
249,115.0,113.9750
250,119.0,114.2519
251,119.0,115.5346
252,115.0,116.4708
253,110.0,116.0735
254,111.0,114.4327
255,116.0,113.5053
256,116.0,114.1793
