index,raw,filtered
0,122.0,0.0000
1,119.0,121.8781
2,121.0,120.3712
3,124.0,120.6127
4,126.0,121.7176
5,128.0,122.9973
6,121.0,124.4236
7,126.0,123.4717
8,128.0,124.1653
9,127.0,125.2098
10,127.0,125.6955
11,126.0,126.0488
12,126.0,126.0356
13,128.0,126.0260
14,126.0,126.5594
15,123.0,126.4083
16,126.0,125.4874
17,126.0,125.6259
18,128.0,125.7270
19,128.0,126.3411
20,129.0,126.7892
21,129.0,127.3865
22,127.0,127.8224
23,128.0,127.6002
24,128.0,127.7082
25,128.0,127.7870
26,120.0,127.8446
27,122.0,125.7253
28,120.0,124.7189
29,120.0,123.4441
30,116.0,122.5136
31,124.0,120.7539
32,123.0,121.6309
33,119.0,122.0008
34,123.0,121.1901
35,121.0,121.6790
36,120.0,121.4956
37,121.0,121.0916
38,119.0,121.0668
39,119.0,120.5085
40,122.0,120.1009
41,120.0,120.6140
42,122.0,120.4481
43,121.0,120.8674
44,121.0,120.9032
45,120.0,120.9293
46,120.0,120.6783
47,122.0,120.4950
48,118.0,120.9016
49,118.0,120.1177
50,121.0,119.5456
51,125.0,119.9385
52,128.0,121.3059
53,121.0,123.1144
54,127.0,122.5432
55,126.0,123.7472
56,127.0,124.3558
57,130.0,125.0702
58,125.0,126.4020
59,134.0,126.0232
60,132.0,128.1782
61,128.0,129.2107
62,128.0,128.8836
63,128.0,128.6449
64,128.0,128.4707
65,128.0,128.3435
66,127.0,128.2507
67,127.0,127.9128
68,126.0,127.6662
69,128.0,127.2161
70,130.0,127.4279
71,124.0,128.1227
72,124.0,127.0090
73,130.0,126.1961
74,130.0,127.2237
75,127.0,127.9738
76,131.0,127.7107
77,133.0,128.5993
78,129.0,129.7882
79,129.0,129.5753
80,127.0,129.4198
81,126.0,128.7661
82,127.0,128.0188
83,125.0,127.7436
84,128.0,127.0024
85,128.0,127.2719
86,123.0,127.4686
87,127.0,126.2614
88,121.0,126.4609
89,125.0,124.9856
90,124.0,124.9895
91,125.0,124.7222
92,122.0,124.7972
93,124.0,124.0415
94,124.0,124.0303
95,124.0,124.0221
96,124.0,124.0162
97,124.0,124.0118
98,124.0,124.0086
99,125.0,124.0063
100,126.0,124.2747
101,126.0,124.7408
102,126.0,125.0810
103,126.0,125.3293
104,128.0,125.5105
105,128.0,126.1830
106,123.0,126.6739
107,123.0,125.6814
108,121.0,124.9570
109,125.0,123.8880
110,126.0,124.1884
111,125.0,124.6778
112,125.0,124.7649
113,129.0,124.8284
114,127.0,125.9554
115,122.0,126.2376
116,124.0,125.0928
117,126.0,124.7976
118,124.0,125.1224
119,124.0,124.8192
120,119.0,124.5979
121,119.0,123.0856
122,118.0,121.9818
123,120.0,120.9061
124,119.0,120.6613
125,119.0,120.2125
126,119.0,119.8849
127,116.0,119.6459
128,119.0,118.6609
129,121.0,118.7525
130,121.0,119.3597
131,119.0,119.8028
132,119.0,119.5859
133,123.0,119.4276
134,129.0,120.3927
135,122.0,122.7180
136,123.0,122.5241
137,123.0,122.6526
138,124.0,122.7465
139,129.0,123.0851
140,126.0,124.6831
141,126.0,125.0388
142,126.0,125.2985
143,125.0,125.4880
144,126.0,125.3562
145,129.0,125.5301
146,127.0,126.4675
147,132.0,126.6114
148,125.0,128.0671
149,125.0,127.2385
150,125.0,126.6338
151,128.0,126.1924
152,126.0,126.6807
153,126.0,126.4968
154,123.0,126.3626
155,117.0,125.4542
156,123.0,123.1702
157,123.0,123.1242
158,123.0,123.0907
159,123.0,123.0662
160,123.0,123.0483
161,123.0,123.0353
162,123.0,123.0257
163,120.0,123.0188
164,127.0,122.2032
165,125.0,123.4991
166,125.0,123.9046
167,126.0,124.2005
168,124.0,124.6867
169,124.0,124.5012
170,126.0,124.3658
171,125.0,124.8073
172,125.0,124.8593
173,127.0,124.8973
174,126.0,125.4654
175,122.0,125.6098
176,122.0,124.6346
177,128.0,123.9228
178,125.0,125.0243
179,125.0,125.0177
180,127.0,125.0130
181,127.0,125.5498
182,133.0,125.9416
183,124.0,127.8484
184,130.0,126.8088
185,128.0,127.6709
186,128.0,127.7598
187,126.0,127.8247
188,126.0,127.3317
189,124.0,126.9720
190,125.0,126.1691
191,120.0,125.8532
192,127.0,124.2719
193,127.0,125.0089
194,125.0,125.5468
195,125.0,125.3991
196,122.0,125.2913
197,123.0,124.4021
198,123.0,124.0233
199,126.0,123.7469
200,124.0,124.3556
201,123.0,124.2595
202,125.0,123.9192
203,123.0,124.2112
204,127.0,123.8840
205,126.0,124.7258
206,123.0,125.0700
207,129.0,124.5108
208,129.0,125.7236
209,134.0,126.6087
210,123.0,128.6055
211,123.0,127.0912
212,123.0,125.9859
213,127.0,125.1792
214,129.0,125.6711
215,126.0,126.5704
216,128.0,126.4163
217,127.0,126.8442
218,125.0,126.8863
219,125.0,126.3767
220,125.0,126.0048
221,118.0,125.7333
222,123.0,123.6441
223,123.0,123.4701
224,124.0,123.3431
225,125.0,123.5206
226,121.0,123.9202
227,122.0,123.1313
228,121.0,122.8257
229,125.0,122.3325
230,125.0,123.0531
231,120.0,123.5791
232,117.0,122.6122
233,124.0,121.0960
234,122.0,121.8805
235,120.0,121.9128
236,123.0,121.3961
237,123.0,121.8294
238,123.0,122.1456
239,124.0,122.3764
240,124.0,122.8151
241,119.0,123.1352
242,114.0,122.0180
243,108.0,119.8519
244,102.0,116.6500
245,102.0,112.6922
246,106.0,109.8037
247,107.0,108.7761
248,107.0,108.2963
249,108.0,107.9461
250,108.0,107.9606
251,113.0,107.9713
252,113.0,109.3298
253,107.0,110.3213
254,110.0,109.4241
255,114.0,109.5797
256,119.0,110.7738
257,120.0,112.9962
258,121.0,114.8883
259,120.0,116.5394
260,120.0,117.4743
261,121.0,118.1566
262,123.0,118.9248
263,121.0,120.0257
264,123.0,120.2889
265,123.0,121.0214
266,119.0,121.5559
267,120.0,120.8654
268,118.0,120.6316
269,118.0,119.9207
270,118.0,119.4018
271,118.0,119.0231
272,122.0,118.7467
273,120.0,119.6256
274,118.0,119.7267
275,118.0,119.2603
276,118.0,118.9198
277,118.0,118.6713
278,118.0,118.4899
279,122.0,118.3576
280,117.0,119.3416
281,117.0,118.7090
282,118.0,118.2473
283,114.0,118.1805
284,111.0,117.0511
285,120.0,115.4164
286,115.0,116.6547
287,112.0,116.2076
288,119.0,115.0709
289,120.0,116.1324
290,119.0,117.1772
