index,raw,filtered
0,125.0,0.0000
1,124.0,124.8751
2,126.0,124.4169
3,122.0,125.0250
4,123.0,124.0383
5,125.0,123.7280
6,125.0,124.0907
7,124.0,124.3435
8,124.0,124.2493
9,131.0,124.1814
10,131.0,126.0315
11,127.0,127.3769
12,127.0,127.2749
13,124.0,127.2006
14,124.0,126.3356
15,126.0,125.7045
16,125.0,125.7844
17,130.0,125.5725
18,129.0,126.7686
19,129.0,127.3714
20,129.0,127.8114
21,125.0,128.1325
22,125.0,127.2862
23,126.0,126.6686
24,123.0,126.4880
25,121.0,125.5457
26,120.0,124.3176
27,115.0,123.1512
28,118.0,120.9491
29,123.0,120.1524
30,126.0,120.9217
31,120.0,122.2936
32,124.0,121.6740
33,126.0,122.3024
34,124.0,123.3013
35,125.0,123.4901
36,120.0,123.8980
37,125.0,122.8449
38,127.0,123.4271
39,127.0,124.3924
40,127.0,125.0968
41,130.0,125.6110
42,130.0,126.7967
43,128.0,127.6621
44,130.0,127.7534
45,133.0,128.3603
46,133.0,129.6138
47,133.0,130.5286
48,133.0,131.1962
49,129.0,131.6835
50,129.0,130.9586
51,131.0,130.4294
52,131.0,130.5836
53,131.0,130.6961
54,129.0,130.7782
55,128.0,130.2978
56,126.0,129.6770
57,126.0,128.6837
58,124.0,127.9587
59,122.0,126.8892
60,121.0,125.5684
61,125.0,124.3342
62,123.0,124.5141
63,119.0,124.1050
64,120.0,122.7259
65,126.0,121.9895
66,124.0,123.0729
67,119.0,123.3234
68,119.0,122.1554
69,126.0,121.3029
70,126.0,122.5719
71,123.0,123.4980
72,119.0,123.3635
73,114.0,122.1847
74,122.0,119.9735
75,114.0,120.5210
76,119.0,118.7593
77,119.0,118.8243
78,116.0,118.8718
79,116.0,118.0960
80,111.0,117.5297
81,111.0,115.7657
82,116.0,114.4782
83,116.0,114.8893
84,112.0,115.1894
85,115.0,114.3277
86,109.0,114.5094
87,111.0,113.0210
88,112.0,112.4750
89,108.0,112.3467
90,110.0,111.1724
91,115.0,110.8557
92,112.0,111.9753
93,111.0,111.9820
94,118.0,111.7167
95,119.0,113.4142
96,119.0,114.9232
97,116.0,116.0246
98,122.0,116.0179
99,122.0,117.6340
100,117.0,118.8135
101,124.0,118.3236
102,120.0,119.8571
103,123.0,119.8957
104,124.0,120.7344
105,124.0,121.6166
106,128.0,122.2605
107,128.0,123.8110
108,123.0,124.9427
109,123.0,124.4179
110,127.0,124.0348
111,124.0,124.8359
112,119.0,124.6101
113,122.0,123.0945
114,122.0,122.7988
115,118.0,122.5830
116,116.0,121.3449
117,120.0,119.9009
118,121.0,119.9277
119,117.0,120.2174
120,115.0,119.3482
121,121.0,118.1735
122,117.0,118.9371
123,121.0,118.4138
124,120.0,119.1125
125,123.0,119.3522
126,123.0,120.3377
127,124.0,121.0569
128,124.0,121.8520
129,125.0,122.4323
130,125.0,123.1260
131,126.0,123.6323
132,126.0,124.2719
133,123.0,124.7388
134,126.0,124.2690
135,130.0,124.7367
136,130.0,126.1586
137,128.0,127.1964
138,128.0,127.4135
139,131.0,127.5719
140,131.0,128.4980
141,129.0,129.1740
142,122.0,129.1270
143,124.0,127.2016
144,125.0,126.3366
145,126.0,125.9755
146,128.0,125.9822
147,126.0,126.5273
148,126.0,126.3848
149,128.0,126.2809
150,127.0,126.7453
151,129.0,126.8141
152,126.0,127.4046
153,125.0,127.0252
154,124.0,126.4781
155,128.0,125.8086
156,128.0,126.4006
157,126.0,126.8327
158,130.0,126.6077
159,129.0,127.5242
160,130.0,127.9229
161,128.0,128.4840
162,127.0,128.3533
163,127.0,127.9877
164,125.0,127.7208
165,125.0,126.9858
166,123.0,126.4493
167,123.0,125.5175
168,127.0,124.8374
169,121.0,125.4216
170,120.0,124.2271
171,120.0,123.0851
172,122.0,122.2516
173,122.0,122.1837
174,121.0,122.1340
175,124.0,121.8277
176,125.0,122.4145
177,121.0,123.1130
178,122.0,122.5422
179,126.0,122.3957
180,128.0,123.3694
181,130.0,124.6204
182,125.0,126.0737
183,127.0,125.7837
184,124.0,126.1123
185,125.0,125.5416
186,125.0,125.3953
187,121.0,125.2885
188,121.0,124.1299
189,122.0,123.2844
190,122.0,122.9374
191,121.0,122.6841
192,118.0,122.2292
193,120.0,121.0866
194,120.0,120.7931
195,117.0,120.5788
196,117.0,119.6120
197,119.0,118.9063
198,119.0,118.9316
199,121.0,118.9501
200,121.0,119.5039
201,123.0,119.9081
202,121.0,120.7434
203,122.0,120.8127
204,125.0,121.1335
205,123.0,122.1780
206,123.0,122.4001
207,122.0,122.5622
208,121.0,122.4103
209,127.0,122.0293
210,124.0,123.3722
211,124.0,123.5418
212,125.0,123.6656
213,128.0,124.0261
214,125.0,125.0997
215,123.0,125.0727
216,125.0,124.5128
217,125.0,124.6444
218,125.0,124.7405
219,125.0,124.8106
220,126.0,124.8618
221,126.0,125.1693
222,121.0,125.3937
223,117.0,124.2067
224,115.0,122.2598
225,125.0,120.2985
226,119.0,121.5686
227,121.0,120.8747
228,126.0,120.9086
229,120.0,122.2840
230,121.0,121.6670
231,122.0,121.4868
232,117.0,121.6254
233,124.0,120.3759
234,122.0,121.3549
235,122.0,121.5292
236,125.0,121.6564
237,126.0,122.5597
238,121.0,123.4891
239,123.0,122.8167
240,123.0,122.8662
241,123.0,122.9023
242,122.0,122.9287
243,123.0,122.6778
244,123.0,122.7649
245,121.0,122.8284
246,120.0,122.3344
247,120.0,121.7038
248,120.0,121.2435
249,120.0,120.9076
250,120.0,120.6624
251,123.0,120.4834
252,123.0,121.1633
253,123.0,121.6595
254,121.0,122.0216
255,125.0,121.7456
256,125.0,122.6248
257,122.0,123.2665
258,122.0,122.9243
259,119.0,122.6746
260,105.0,121.6819
261,97.0,117.1752
262,98.0,111.7247
263,98.0,108.0169
264,99.0,105.3108
265,94.0,103.6059
266,98.0,101.0108
267,95.0,100.1974
268,93.0,98.7933
269,97.0,97.2282
270,95.0,97.1666
271,93.0,96.5812
272,97.0,95.6137
273,93.0,95.9883
274,93.0,95.1810
275,93.0,94.5918
276,94.0,94.1617
277,94.0,94.1180
278,102.0,94.0862
279,109.0,96.2241
280,107.0,99.6756
281,113.0,101.6543
282,113.0,104.7194
283,127.0,106.9565
284,127.0,112.3714
285,123.0,116.3234
286,123.0,118.1271
287,125.0,119.4436
288,122.0,120.9447
289,124.0,121.2298
290,126.0,121.9782
291,120.0,123.0647
292,120.0,122.2367
293,121.0,121.6325
294,125.0,121.4616
295,124.0,122.4175
296,122.0,122.8450
297,122.0,122.6167
298,121.0,122.4501
299,121.0,122.0584
300,123.0,121.7724
301,125.0,122.1041
302,126.0,122.8864
303,126.0,123.7276
304,127.0,124.3415
305,122.0,125.0597
306,122.0,124.2331
307,120.0,123.6298
308,123.0,122.6492
309,123.0,122.7440
310,127.0,122.8131
311,127.0,123.9442
312,124.0,124.7698
313,122.0,124.5618
314,126.0,123.8697
315,126.0,124.4452
