index,raw,filtered
0,125.0,0.0000
1,121.0,124.8751
2,124.0,122.8462
3,122.0,123.2893
4,122.0,122.8688
5,122.0,122.6092
6,118.0,122.4355
7,124.0,121.2022
8,123.0,121.9698
9,122.0,122.2504
10,127.0,122.1824
11,125.0,123.4870
12,127.0,123.8962
13,125.0,124.7353
14,127.0,124.8068
15,128.0,125.3994
16,130.0,126.1021
17,126.0,127.1552
18,129.0,126.8431
19,126.0,127.4258
20,133.0,127.0406
21,130.0,128.6506
22,130.0,129.0151
23,130.0,129.2812
24,130.0,129.4754
25,130.0,129.6171
26,130.0,129.7206
27,124.0,129.7960
28,125.0,128.2302
29,123.0,127.3575
30,125.0,126.1803
31,127.0,125.8615
32,128.0,126.1690
33,128.0,126.6637
34,128.0,127.0247
35,126.0,127.2882
36,121.0,126.9402
37,127.0,125.3354
38,126.0,125.7851
39,123.0,125.8432
40,125.0,125.0751
41,125.0,125.0548
42,125.0,125.0400
43,122.0,125.0292
44,123.0,124.2108
45,121.0,123.8837
46,123.0,123.1047
47,123.0,123.0764
48,123.0,123.0558
49,127.0,123.0407
50,121.0,124.1103
51,121.0,123.2700
52,126.0,122.6568
53,124.0,123.5600
54,120.0,123.6788
55,120.0,122.6850
56,123.0,121.9596
57,123.0,122.2407
58,122.0,122.4458
59,119.0,122.3254
60,123.0,121.4270
61,131.0,121.8520
62,126.0,124.3234
63,126.0,124.7763
64,123.0,125.1069
65,128.0,124.5377
66,130.0,125.4731
67,125.0,126.6960
68,124.0,126.2378
69,129.0,125.6333
70,126.0,126.5428
71,127.0,126.3962
72,125.0,126.5593
73,131.0,126.1380
74,126.0,127.4515
75,124.0,127.0594
76,124.0,126.2329
77,128.0,125.6297
78,125.0,126.2700
79,122.0,125.9269
80,126.0,124.8660
81,126.0,125.1724
82,127.0,125.3960
83,127.0,125.8293
84,128.0,126.1456
85,128.0,126.6466
86,124.0,127.0122
87,118.0,126.1984
88,120.0,123.9836
89,121.0,122.9074
90,126.0,122.3921
91,125.0,123.3668
92,125.0,123.8080
93,125.0,124.1300
94,121.0,124.3651
95,122.0,123.4560
96,121.0,123.0626
97,126.0,122.5054
98,118.0,123.4495
99,122.0,121.9773
100,119.0,121.9834
101,119.0,121.1774
102,120.0,120.5892
103,117.0,120.4300
104,117.0,119.5034
105,118.0,118.8271
106,118.0,118.6036
107,118.0,118.4406
108,118.0,118.3215
109,118.0,118.2347
110,115.0,118.1713
111,117.0,117.3145
112,117.0,117.2296
113,120.0,117.1675
114,120.0,117.9327
115,119.0,118.4912
116,122.0,118.6287
117,121.0,119.5395
118,121.0,119.9340
119,123.0,120.2220
120,127.0,120.9725
121,127.0,122.6009
122,131.0,123.7893
123,132.0,125.7373
124,130.0,127.4292
125,127.0,128.1237
126,127.0,127.8202
127,130.0,127.5986
128,123.0,128.2473
129,129.0,126.8297
130,126.0,127.4160
131,129.0,127.0335
132,133.0,127.5648
133,129.0,129.0331
134,129.0,129.0242
135,129.0,129.0176
136,127.0,129.0129
137,124.0,128.4691
138,123.0,127.2617
139,123.0,126.1104
140,124.0,125.2701
141,122.0,124.9270
142,122.0,124.1362
143,124.0,123.5591
144,124.0,123.6782
145,124.0,123.7652
146,120.0,123.8286
147,123.0,122.7943
148,124.0,122.8499
149,124.0,123.1606
150,121.0,123.3874
151,124.0,122.7424
152,128.0,123.0821
153,125.0,124.4107
154,127.0,124.5699
155,120.0,125.2264
156,125.0,123.8145
157,124.0,124.1348
158,120.0,124.0983
159,126.0,122.9912
160,126.0,123.8040
161,126.0,124.3973
162,124.0,124.8303
163,127.0,124.6060
164,124.0,125.2527
165,124.0,124.9143
166,123.0,124.6673
167,123.0,124.2169
168,122.0,123.8881
169,122.0,123.3780
170,127.0,123.0057
171,120.0,124.0848
172,120.0,122.9813
173,122.0,122.1759
174,122.0,122.1284
175,122.0,122.0937
176,122.0,122.0684
177,125.0,122.0499
178,123.0,122.8469
179,123.0,122.8883
180,122.0,122.9184
181,119.0,122.6703
182,123.0,121.6788
183,116.0,122.0357
184,114.0,120.4051
185,112.0,118.6747
186,107.0,116.8715
187,102.0,114.2047
188,101.0,110.9075
189,93.0,108.2309
190,87.0,104.1162
191,94.0,99.4921
192,94.0,98.0084
193,93.0,96.9255
194,87.0,95.8650
195,93.0,93.4701
196,93.0,93.3431
197,104.0,93.2504
198,104.0,96.1545
199,110.0,98.2740
200,110.0,101.4418
201,111.0,103.7539
202,111.0,105.7115
203,121.0,107.1402
204,121.0,110.8845
205,123.0,113.6173
206,125.0,116.1521
207,124.0,118.5424
208,126.0,120.0168
209,122.0,121.6332
210,122.0,121.7323
211,130.0,121.8046
212,126.0,124.0186
213,120.0,124.5539
214,123.0,123.3237
215,125.0,123.2362
216,124.0,123.7127
217,120.0,123.7903
218,116.0,122.7663
219,119.0,120.9384
220,113.0,120.4147
221,118.0,118.4116
222,115.0,118.3004
223,116.0,117.4088
224,116.0,117.0282
225,115.0,116.7504
226,115.0,116.2775
227,108.0,115.9324
228,111.0,113.7894
229,114.0,113.0358
230,108.0,113.2963
231,108.0,111.8655
232,113.0,110.8212
233,113.0,111.4098
234,114.0,111.8394
235,114.0,112.4231
236,109.0,112.8491
